object_id,shape,admin3_pcode,shape_length,shape_area,location
25,Polygon,TH100502,0.174592,0.00151,"Thailand, Bangkok, Bang Khen, Anusawari"
26,Polygon,TH810505,0.469273,0.004555,"Thailand, Krabi, Ao Luek, Ao Luek Noi"
27,Polygon,TH810506,0.413648,0.006069,"Thailand, Krabi, Ao Luek, Ao Luek Nuea"
28,Polygon,TH810501,0.5259,0.007167,"Thailand, Krabi, Ao Luek, Ao Luek Tai"
29,Polygon,TH810116,0.892315,0.005019,"Thailand, Krabi, Mueang Krabi, Ao Nang"
30,Polygon,TH770105,0.887148,0.028767,"Thailand, Prachuap Khiri Khan, Mueang Prachuap Khiri Khan, Ao Noi"
31,Polygon,TH920703,0.677909,0.015503,"Thailand, Trang, Wang Wiset, Ao Tong"
32,Polygon,TH230106,0.273783,0.001683,"Thailand, Trat, Mueang Trat, Ao Yai"
33,Polygon,TH841404,0.735998,0.009125,"Thailand, Surat Thani, Khian Sa, Aranyakham Wari"
34,Polygon,TH270601,0.212176,0.000792,"Thailand, Sa Kaeo, Aranyaprathet, Aranyaprathet"
35,Polygon,TH650117,0.346054,0.002511,"Thailand, Phitsanulok, Mueang Phitsanulok, Aranyik"
36,Polygon,TH102009,0.07932,0.000253,"Thailand, Bangkok, Bangkok Noi, Arun Ammarin"
37,Polygon,TH260304,0.289229,0.001046,"Thailand, Nakhon Nayok, Ban Na, Asa"
38,Polygon,TH451401,0.330243,0.005182,"Thailand, Roi Et, At Samat, At Samat"
39,Polygon,TH480107,0.359554,0.003258,"Thailand, Nakhon Phanom, Mueang Nakhon Phanom, At Samat"
40,Polygon,TH320306,0.579159,0.006676,"Thailand, Surin, Tha Tum, Ba"
41,Polygon,TH960508,0.210825,0.001934,"Thailand, Narathiwat, Ra-Ngae, Ba-Ngo Sato"
42,Polygon,TH950611,0.136543,0.00094,"Thailand, Yala, Raman, Ba-Ngoi"
43,Polygon,TH950507,0.13552,0.001172,"Thailand, Yala, Yaha, Ba-Ngoi Sinae"
44,Polygon,TH921002,0.343969,0.004487,"Thailand, Trang, Hat Samran, Ba Wi"
45,Polygon,TH950302,0.360023,0.005466,"Thailand, Yala, Bannang Sata, Bacho"
46,Polygon,TH960301,0.260323,0.002851,"Thailand, Narathiwat, Bacho, Bacho"
47,Polygon,TH470409,0.574925,0.007749,"Thailand, Sakon Nakhon, Phanna Nikhom, Bahi"
48,Polygon,TH900608,0.759065,0.017896,"Thailand, Songkhla, Saba Yoi, Bahoi"
49,Polygon,TH321401,0.473279,0.011346,"Thailand, Surin, Phanom Dong Rak, Bak Dai"
50,Polygon,TH330802,0.850507,0.024807,"Thailand, Si Sa Ket, Khun Han, Bak Dong"
51,Polygon,TH350605,0.306234,0.003486,"Thailand, Yasothon, Maha Chana Chai, Bak Ruea"
52,Polygon,TH950702,0.964196,0.020871,"Thailand, Yala, Kabang, Bala"
53,Polygon,TH950610,0.242177,0.002242,"Thailand, Yala, Raman, Balo"
54,Polygon,TH940913,0.121896,0.000768,"Thailand, Pattani, Yaring, Baloi"
55,Polygon,TH501704,0.226709,0.001975,"Thailand, Chiang Mai, Doi Tao, Ban Aen"
56,Polygon,TH451608,0.136322,0.000941,"Thailand, Roi Et, Si Somdet, Ban Bak"
57,Polygon,TH490305,0.591957,0.006161,"Thailand, Mukdahan, Don Tan, Ban Bak"
58,Polygon,TH100804,0.027559,3.4e-05,"Thailand, Bangkok, Pom Prap Sattru Phai, Ban Bat"
59,Polygon,TH740104,0.207876,0.001394,"Thailand, Samut Sakhon, Mueang Samut Sakhon, Ban Bo"
60,Polygon,TH160510,0.308223,0.002747,"Thailand, Lop Buri, Tha Wung, Ban Boek"
61,Polygon,TH521005,0.389277,0.005231,"Thailand, Lampang, Mae Tha, Ban Bom"
62,Polygon,TH310104,0.467651,0.004189,"Thailand, Buri Ram, Mueang Buri Ram, Ban Bua"
63,Polygon,TH360410,0.350251,0.003671,"Thailand, Chaiyaphum, Kaset Sombun, Ban Bua"
64,Polygon,TH200201,0.375693,0.004603,"Thailand, Chon Buri, Ban Bueng, Ban Bueng"
65,Polygon,TH610611,0.373448,0.00531,"Thailand, Uthai Thani, Ban Rai, Ban Bueng"
66,Polygon,TH701002,1.506369,0.049504,"Thailand, Ratchaburi, Ban Kha, Ban Bueng"
67,Polygon,TH660110,0.365485,0.004828,"Thailand, Phichit, Mueang Phichit, Ban Bung"
68,Polygon,TH170206,0.186129,0.00161,"Thailand, Sing Buri, Bang Rachan, Ban Cha"
